TYPE="DIRLIGHT" name="Sun" intensity="0.4" P(200,500,25)D(-0.37099,-0.92748,-0.046374)C(1.0,1.0,1.0)

TYPE="SPOTLIGHT" name="hearth" intensity="0.5" range="20.0" spotFalloff="10" P(10.77,2,-0.6)D(-1,0,0)C(1.0,0.38039,0)
TYPE="POINTLIGHT" name="hearthpoint" intensity="1.0" range="3.0" P(10.77,2,-0.6)C(1.0,0.26274,0)

//0.75
TYPE="SPOTLIGHT" name="menulight" intensity="0.0001" range="50.0" spotFalloff="40" P(0,5,5)D(0,0,-1)C(1.0,0.87843,0.72941) 

TYPE="POINTLIGHT" name="candleLight" intensity="1.0" range="5.0" P(0.37,4.0,-1.27)C(1.0,0.4,0)
TYPE="POINTLIGHT" name="candleLight2" intensity="1.0" range="5.0" P(-4.0,4.0,-0.27)C(1.0,0.4,0)

//TYPE="POINTLIGHT" name="hearth" intensity="0.1" range="10.0" P(10.77,2.0,-0.6)C(1.0,0.61569,0)
//TYPE="SPOTLIGHT" name="menulight" intensity="0.3" range="30.0" spotFalloff="20" P(0,5,5)D(0,0,-1)C(1.0,0.87843,0.72941)

TYPE="AMBIENTLIGHT" intensity="0.005"
TYPE="AMBIENTOCCLUSION" enabled="true" unitsPerMeter="1.0" radius="1.0" power="2.0" blurEnabled="true" blurSharpness="16.0" blurRadius="0" 

name="MainMenuManager" scripts="MAINMENUMANAGER" P(0,0,0)R(0,0,0)S(0,0,0)

obj="Cube" material="plaster" layers="decal" colliders="true" P(0,5,-12.25)R(0,270,0)S(1,10,35.96559)
obj="Cube" material="White" layers="decal" colliders="true" P(-2.12,6.311,7.394)R(0,180,0)S(0.31424,0.4819499,0.05249912)
obj="Cube" material="White" layers="decal" colliders="true" P(-0.4589998,6.279,7.43)R(0,180,0)S(0.31424,0.4819499,0.05249912)
obj="Cube" material="White" layers="decal" colliders="true" P(1.929,6.279,7.43)R(0,180,0)S(0.31424,0.4819499,0.05249912)
obj="Cube" material="White" layers="decal" colliders="true" P(1.929,6.194,7.71)R(0,180,0)S(0.31424,0.31424,0.6011097)
obj="Cube" material="White" layers="decal" colliders="true" P(-0.4589998,6.194,7.71)R(0,180,0)S(0.31424,0.31424,0.6011097)
obj="Cube" material="White" layers="decal" colliders="true" P(-2.12,6.229,7.71)R(0,180,0)S(0.31424,0.31424,0.6011097)
obj="Cube" material="plaster" layers="decal" colliders="true" P(0.000998014,5,8.267)R(0,270,0)S(1,10,35.96559)
obj="Cube" material="plaster" layers="decal" colliders="true" P(-12.29,5,0)R(0,180,0)S(1,10,25)
obj="Cube" material="plaster" layers="decal" colliders="true" P(12.85,5,0)R(0,180,0)S(1,10,25)
obj="Cube" material="plaster" layers="decal" colliders="true" P(0,10,0)R(0,180,0)S(35.96559,1,25)
